feature,gain,split,fold
tab_name,93981.38409543037,2584,0
scene_name,89280.13500189781,3923,0
entrance_type,261095.56707668304,5804,0
address,273724.10258340836,17337,0
sex,35912.95887327194,2916,0
rg_source,29306.67753481865,2212,0
age_bucket,42322.5458111763,2753,0
language,129910.50938987732,7113,0
duration_bucket,5971.6620309352875,559,0
age,121037.63033509254,9349,0
rg_year,42952.60395812988,3482,0
rg_month,107367.10751271248,8936,0
exp_year,15489.449699401855,1161,0
exp_month,74619.8011109829,6290,0
membership_days,238601.37958812714,18866,0
is_age_zero,2715.683587551117,243,0
is_age_outlier,93.06872081756592,7,0
is_membership_days_negative,0.0,0,0
duration_ms,50217.05839371681,4961,0
duration_sec,52805.0438272953,5119,0
duration_log1p,51362.14097571373,4962,0
category_count,9900.416965007782,856,0
host_count,19466.509642124176,1733,0
producer_count,19939.81366086006,1910,0
writer_count,8728.230712413788,892,0
title_token_count,32422.901215076447,3361,0
title_char_len,31948.573327302933,3338,0
uuid_episode_count,49453.93946814537,4162,0
uid_count,290292.25730609894,14998,0
episode_count,795044.6815421581,9021,0
tab_name_count,17179.35181951523,524,0
scene_name_count,13884.095032691956,889,0
entrance_type_count,27514.403329849243,930,0
uid_tab_count,288145.73062062263,14425,0
uid_entrance_count,322520.36192822456,15575,0
episode_tab_count,149791.66042637825,7775,0
episode_entrance_count,164657.51616597176,8477,0
te_uid,419299.62411904335,18768,0
te_episode_id,473398.43562459946,12966,0
te_tab_name,69042.79245519638,4155,0
te_scene_name,66201.83203816414,5039,0
te_entrance_type,98543.29391384125,5168,0
te_uid_tab,4277998.845842838,20038,0
te_uid_entrance,14259372.959444046,18934,0
te_episode_tab,400341.11841130257,11333,0
te_episode_entrance,583577.5091383457,11350,0
te_uid_train_count,205753.34257817268,12954,0
te_episode_id_train_count,528836.5873684883,9059,0
te_tab_name_train_count,54424.91847014427,3702,0
te_scene_name_train_count,56355.32170367241,4653,0
te_entrance_type_train_count,81910.39674758911,4951,0
te_uid_tab_train_count,186891.91901397705,11893,0
te_uid_entrance_train_count,334818.02268218994,13253,0
te_episode_tab_train_count,124078.7979900837,7447,0
te_episode_entrance_train_count,133190.31672739983,7894,0
global_label_mean,0.0,0,0
tab_name,96445.94998002052,2606,1
scene_name,84184.495595932,3711,1
entrance_type,255813.4117588997,5793,1
address,275382.3939373493,17456,1
sex,34946.1364171505,2862,1
rg_source,30264.585401773453,2241,1
age_bucket,44628.74292206764,2859,1
language,131319.99338269234,7354,1
duration_bucket,5385.537139415741,542,1
age,117807.80128955841,9264,1
rg_year,41691.30393457413,3423,1
rg_month,105402.23078405857,8816,1
exp_year,15521.96774482727,1162,1
exp_month,76498.00520420074,6420,1
membership_days,232514.3536901474,18671,1
is_age_zero,2840.227264404297,240,1
is_age_outlier,58.81642007827759,4,1
