feature,gain,split
te_uid_entrance,14264586.671542684,19049.666666666668
te_uid_tab,4279447.397485614,20034.333333333332
episode_count,857186.590629975,9107.0
te_episode_entrance,576392.3902057806,11381.333333333334
te_episode_id,476511.36721952754,12778.333333333334
te_episode_id_train_count,462879.83518068,8993.666666666666
te_uid,419912.2619270881,18820.333333333332
te_episode_tab,385124.07632358867,11360.0
te_uid_entrance_train_count,332036.2714723746,13191.666666666666
uid_entrance_count,324803.5976071358,15634.333333333334
uid_count,288670.43756397563,15063.333333333334
uid_tab_count,286368.0930265983,14339.333333333334
address,277111.3551046054,17541.0
entrance_type,259351.19404681525,5736.333333333333
membership_days,237419.1772023042,18890.666666666668
te_uid_train_count,209707.1496184667,13093.666666666666
te_uid_tab_train_count,186948.90789969763,11943.333333333334
episode_entrance_count,165313.35872077942,8460.333333333334
episode_tab_count,145085.80099662146,7836.333333333333
te_episode_entrance_train_count,135674.91339453062,8000.0
te_episode_tab_train_count,131365.48689436913,7336.666666666667
language,129804.99216500919,7167.0
age,121396.14310073853,9424.666666666666
rg_month,106992.3028660218,8920.666666666666
te_entrance_type,106957.60038201015,5210.666666666667
tab_name,93634.12659080823,2555.3333333333335
scene_name,88027.18220106761,3825.3333333333335
te_entrance_type_train_count,80761.23246701558,5001.333333333333
exp_month,75179.54081424077,6299.333333333333
te_tab_name,67741.48119608562,4090.0
te_scene_name,66416.38097393513,5025.333333333333
te_scene_name_train_count,55257.61780913671,4565.666666666667
duration_ms,52509.538003603615,5131.0
duration_sec,51429.32107742628,4975.666666666667
te_tab_name_train_count,50925.13290452957,3603.0
duration_log1p,49320.457010269165,4773.333333333333
uuid_episode_count,47259.51401813825,4007.6666666666665
age_bucket,42850.23179252943,2781.6666666666665
rg_year,42521.68611685435,3472.0
sex,35432.9445532163,2881.0
title_char_len,32148.699849128723,3332.0
title_token_count,31942.37376173337,3301.0
rg_source,30158.47256875038,2237.0
entrance_type_count,25629.69550649325,914.6666666666666
host_count,20271.49034365018,1772.3333333333333
producer_count,20126.725978255272,1931.6666666666667
tab_name_count,19472.07312099139,534.0
exp_year,16030.062782128653,1190.6666666666667
scene_name_count,14158.20953909556,897.6666666666666
category_count,10249.85397108396,857.0
writer_count,8965.868481556574,910.6666666666666
duration_bucket,5966.780356884003,572.3333333333334
is_age_zero,2818.8536207675934,241.66666666666666
is_age_outlier,65.2811131477356,5.0
is_membership_days_negative,0.0,0.0
global_label_mean,0.0,0.0
